state,year,area,production,yield,crop
Andhra Pradesh,1997,59300.0,52300.0,0.88,bajra
Andhra Pradesh,1998,83500.0,98600.0,1.18,bajra
Andhra Pradesh,1999,71996.0,71352.0,0.99,bajra
Andhra Pradesh,2000,98323.0,121260.0,1.23,bajra
Andhra Pradesh,2001,55178.0,54063.0,0.98,bajra
Andhra Pradesh,2002,52650.0,41221.0,0.78,bajra
Andhra Pradesh,2003,94859.0,121690.0,1.28,bajra
Andhra Pradesh,2004,65987.0,72583.0,1.1,bajra
Andhra Pradesh,2005,54467.0,65342.0,1.2,bajra
Andhra Pradesh,2006,40914.0,39854.0,0.97,bajra
Andhra Pradesh,2007,50000.0,77000.0,1.54,bajra
Andhra Pradesh,2008,37265.0,46336.0,1.24,bajra
Andhra Pradesh,2009,28604.0,45249.0,1.58,bajra
Andhra Pradesh,2010,48212.0,88306.0,1.83,bajra
Andhra Pradesh,2011,31820.0,51544.0,1.62,bajra
Andhra Pradesh,2012,58000.0,99000.0,1.71,bajra
Andhra Pradesh,2013,49227.0,81855.0,1.66,bajra
Andhra Pradesh,2014,28178.0,38499.0,1.37,bajra
Andhra Pradesh,2015,36740.0,65023.0,1.77,bajra
Andhra Pradesh,2016,41886.0,71953.0,1.72,bajra
Andhra Pradesh,2017,48357.0,93168.0,1.93,bajra
Andhra Pradesh,2018,22114.0,22798.0,1.03,bajra
Andhra Pradesh,2019,25076.0,58367.0,2.33,bajra
Andhra Pradesh,2020,30711.0,70056.0,2.28,bajra
Andhra Pradesh,2021,30481.0,54470.0,1.79,bajra
Andhra Pradesh,2022,24688.0,49202.0,1.99,bajra
Bihar,1997,1853.0,1095.0,0.59,bajra
Bihar,1998,2706.0,1561.0,0.58,bajra
Bihar,1999,1629.0,990.0,0.61,bajra
Bihar,2000,1534.0,1266.0,0.83,bajra
Bihar,2001,828.0,598.0,0.72,bajra
Bihar,2002,1018.0,1048.0,1.03,bajra
Bihar,2003,1568.0,1638.0,1.04,bajra
Bihar,2004,1200.0,1297.0,1.08,bajra
Bihar,2005,4338.0,4591.0,1.06,bajra
Bihar,2006,4106.0,4417.0,1.08,bajra
